"no","generasi","pertanyaan","pertanyaan_ner","lapis_terjemahan","sql_asli_1baris","sql_dipakai_1baris","error"
"1","v1","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt memenuhi ketentuan?""","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan <CONCLUSION TYPE>?""","relasi vw_penandaan→mv_penandaan","SELECT nama_balai FROM vw_penandaan WHERE kesimpulan_penilaian_pusat = 'MK' GROUP BY nama_balai ORDER BY COUNT(*) DESC LIMIT 1;","SELECT nama_balai FROM mv_penandaan WHERE kesimpulan_penilaian_pusat = 'MK' GROUP BY nama_balai ORDER BY COUNT(*) DESC LIMIT 1;",""
"2","v1","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt memenuhi ketentuan?""","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan <CONCLUSION TYPE>?""","relasi vw_penandaan→mv_penandaan","SELECT nama_balai, count(*) FROM vw_penandaan WHERE kesimpulan_penilaian_pusat LIKE '%MK%' GROUP BY nama_balai ORDER BY COUNT(*) DESC LIMIT 5","SELECT nama_balai, count(*) FROM mv_penandaan WHERE kesimpulan_penilaian_pusat LIKE '%MK%' GROUP BY nama_balai ORDER BY COUNT(*) DESC LIMIT 5",""
"3","v1","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt tidak memenuhi ketentuan?""","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt <CONCLUSION TYPE>?""","relasi vw_penandaan→mv_penandaan","SELECT nama_balai FROM vw_penandaan WHERE kesimpulan_penilaian_pusat = 'TMK' GROUP BY nama_balai ORDER BY count(*) DESC LIMIT 1;","SELECT nama_balai FROM mv_penandaan WHERE kesimpulan_penilaian_pusat = 'TMK' GROUP BY nama_balai ORDER BY count(*) DESC LIMIT 1;",""
"4","v1","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt tidak memenuhi ketentuan?""","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt <CONCLUSION TYPE>?""","relasi vw_penandaan→mv_penandaan","SELECT nama_balai, count(*) FROM vw_penandaan WHERE kesimpulan_penilaian_pusat LIKE '%TMK%' GROUP BY nama_balai ORDER BY COUNT(*) DESC LIMIT 5","SELECT nama_balai, count(*) FROM mv_penandaan WHERE kesimpulan_penilaian_pusat LIKE '%TMK%' GROUP BY nama_balai ORDER BY COUNT(*) DESC LIMIT 5",""
"5","v1","tampilkan data obat tradisional; suplemen kesehatan; obat kuasi hasil pengawasan penandaan yang merupakan kategori obat tradisional; suplemen kesehatan; obat kuasi dan klaim dalam promosi/iklan.","tampilkan data <CLASSIFICATION>; <CLASSIFICATION>; <CLASSIFICATION> hasil pengawasan penandaan yang merupakan kategori <CLASSIFICATION>; <CLASSIFICATION>; <CLASSIFICATION> dan klaim dalam promosi/ikla","relasi vw_penandaan→mv_penandaan","SELECT * FROM vw_penandaan WHERE lower(komoditi) IN ('obat tradisional (ot)', 'suplemen kesehatan', 'obat kuasi')","SELECT * FROM mv_penandaan WHERE lower(komoditi) IN ('obat tradisional (ot)', 'suplemen kesehatan', 'obat kuasi')",""
"6","v1","tampilkan nama upt yang tidak melakukan input catatan tmk pada hasil pengawasan penandaan dengan kesimpulan tmk.","tampilkan nama upt yang tidak melakukan input catatan <CONCLUSION TYPE> pada hasil pengawasan penandaan dengan kesimpulan <CONCLUSION TYPE>.","relasi vw_penandaan→mv_penandaan","SELECT DISTINCT nama_balai FROM vw_penandaan WHERE catatan IS NULL AND kesimpulan_penilaian_pusat = 'TMK';","SELECT DISTINCT nama_balai FROM mv_penandaan WHERE catatan IS NULL AND kesimpulan_penilaian_pusat = 'TMK';",""
"7","v1","tampilkan nama upt yang tidak melakukan input catatan tmk pada hasil pengawasan penandaan dengan kesimpulan tmk.","tampilkan nama upt yang tidak melakukan input catatan <CONCLUSION TYPE> pada hasil pengawasan penandaan dengan kesimpulan <CONCLUSION TYPE>.","relasi vw_penandaan→mv_penandaan","SELECT DISTINCT nama_balai, count(*) FROM vw_penandaan WHERE catatan IS NULL AND kesimpulan_penilaian_pusat = 'TMK' GROUP BY nama_balai;","SELECT DISTINCT nama_balai, count(*) FROM mv_penandaan WHERE catatan IS NULL AND kesimpulan_penilaian_pusat = 'TMK' GROUP BY nama_balai;",""
"8","v1","tampilkan rekapitulasi jumlah laporan pengawasan penandaan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal 1 januari 2025 hingga 31 desember 2025.","tampilkan rekapitulasi jumlah laporan pengawasan penandaan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal 1 januari <YEAR> hingga 31 desember <YEAR>.","relasi vw_penandaan→mv_penandaan","SELECT nama_balai, COUNT(id) AS jumlah_laporan FROM vw_penandaan WHERE tgl_start BETWEEN '2025-01-01' AND '2025-12-31' GROUP BY nama_balai;","SELECT nama_balai, COUNT(id) AS jumlah_laporan FROM mv_penandaan WHERE tgl_start BETWEEN '2025-01-01' AND '2025-12-31' GROUP BY nama_balai;",""
"9","v1","tampilkan rekapitulasi jumlah laporan pengawasan penandaan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal 1 januari 2025 sampai dengan 31 desember 2025.","tampilkan rekapitulasi jumlah laporan pengawasan penandaan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal 1 januari <YEAR> sampai dengan 31 desember <YEAR>.","relasi vw_penandaan→mv_penandaan","SELECT nama_balai, COUNT(id) AS jumlah_laporan FROM vw_penandaan WHERE tgl_start >= '2025-01-01' AND tgl_end <= '2025-12-31' GROUP BY nama_balai;","SELECT nama_balai, COUNT(id) AS jumlah_laporan FROM mv_penandaan WHERE tgl_start >= '2025-01-01' AND tgl_end <= '2025-12-31' GROUP BY nama_balai;",""
"10","v1","tampilkan urutan data nama industri farmasi dengan hasil pengawasan akhir dari pusat yang memiliki obat dengan penandaan yang tidak memenuhi ketentuan paling banyak sampai dengan paling rendah.","tampilkan urutan data <CLASSIFICATION> dengan <CONCLUSION TYPE> dari pusat yang memiliki <PRODUCT NAME> dengan <REGULATION TYPE> paling banyak sampai dengan paling rendah.","relasi vw_penandaan→mv_penandaan","SELECT produsen, COUNT(*) AS jumlah_tidak_memenuhi_ketentuan FROM vw_penandaan WHERE kesimpulan_penilaian_pusat = 'TMK' GROUP BY produsen ORDER BY jumlah_tidak_memenuhi_ketentuan DESC;","SELECT produsen, COUNT(*) AS jumlah_tidak_memenuhi_ketentuan FROM mv_penandaan WHERE kesimpulan_penilaian_pusat = 'TMK' GROUP BY produsen ORDER BY jumlah_tidak_memenuhi_ketentuan DESC;",""
