"no","generasi","pertanyaan","tabel_dipakai","pakai_agregasi","status_sebelum","status_sesudah","baris_hasil","kode_diagnosa","penjelasan_sebab"
"1","v1","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt memenuhi ketentuan?""","mv_penandaan","ya","ERR_SCHEMA","OK","1","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"2","v1","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt memenuhi ketentuan?""","mv_penandaan","ya","ERR_SCHEMA","OK","5","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"3","v1","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt tidak memenuhi ketentuan?""","mv_penandaan","ya","ERR_SCHEMA","OK","1","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"4","v1","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt tidak memenuhi ketentuan?""","mv_penandaan","ya","ERR_SCHEMA","OK","5","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"5","v1","tampilkan data obat tradisional; suplemen kesehatan; obat kuasi hasil pengawasan penandaan yang merupakan kategori obat tradisional; suplemen kesehatan; obat kuasi dan klaim dalam promosi/iklan.","mv_penandaan","tidak","ERR_SCHEMA","OK","52685","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"6","v1","tampilkan nama upt yang tidak melakukan input catatan tmk pada hasil pengawasan penandaan dengan kesimpulan tmk.","mv_penandaan","tidak","ERR_SCHEMA","NOL_BARIS","0","NOL_FILTER_SEMPIT","Kombinasi filter menyempit sampai kosong — periksa tiap klausa terhadap katalog nilai"
"7","v1","tampilkan nama upt yang tidak melakukan input catatan tmk pada hasil pengawasan penandaan dengan kesimpulan tmk.","mv_penandaan","ya","ERR_SCHEMA","NOL_BARIS","0","NOL_FILTER_SEMPIT","Kombinasi filter menyempit sampai kosong — periksa tiap klausa terhadap katalog nilai"
"8","v1","tampilkan rekapitulasi jumlah laporan pengawasan penandaan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal 1 januari 2025 hingga 31 desember 2025.","mv_penandaan","ya","ERR_SCHEMA","OK","77","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"9","v1","tampilkan rekapitulasi jumlah laporan pengawasan penandaan masing-masing upt yang telah dikirim ke pusat pada periode waktu antara tanggal 1 januari 2025 sampai dengan 31 desember 2025.","mv_penandaan","ya","ERR_SCHEMA","OK","77","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"10","v1","tampilkan urutan data nama industri farmasi dengan hasil pengawasan akhir dari pusat yang memiliki obat dengan penandaan yang tidak memenuhi ketentuan paling banyak sampai dengan paling rendah.","mv_penandaan","ya","ERR_SCHEMA","OK","6788","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"11","v1","tampilkan urutan data nama sarana produksi dengan hasil pengawasan akhir dari pusat yang memiliki obat tradisional; suplemen kesehatan; obat kuasi dengan penandaan yang tidak memenuhi ketentuan diurut","mv_penandaan","ya","ERR_SCHEMA","OK","2589","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"12","v1","urutkan nama kemasan yang memiliki kesimpulan akhir pengawasan penandaan tmk paling banyak sampai dengan paling rendah.","mv_penandaan","ya","ERR_SCHEMA","OK","15529","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"13","v1","urutkan nama kemasan yang memiliki kesimpulan akhir pengawasan penandaan tmk paling banyak sampai dengan paling rendah.","mv_penandaan","ya","ERR_SCHEMA","OK","15529","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"14","v2","berikan top 5 upt yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt memenuhi ketentuan?","mv_penandaan","ya","ERR_SCHEMA","OK","5","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"15","v2","berikan top 5 upt yang paling banyak melaporkan hasil pemeriksaan penandaan dengan kesimpulan upt tidak memenuhi ketentuan?","mv_penandaan","ya","ERR_SCHEMA","OK","5","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"16","v2","tampilkan data obat tradisional; suplemen kesehatan; obat kuasi hasil pengawasan penandaan yang merupakan kategori obat tradisional; suplemen kesehatan; obat kuasi dan klaim dalam promosi/iklan.","mv_penandaan","tidak","ERR_SCHEMA","OK","52685","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
